,date,year,load,load_predict
20709,2006-09-13,2024,7048.0,7048.519287062053
20710,2006-09-14,2024,7338.2,7079.8436238159975
20711,2006-09-15,2024,7461.7,6995.998165251385
20712,2006-09-16,2024,6457.7,5909.006938859462
20713,2006-09-17,2024,6734.2,5928.564582179998
20714,2006-09-18,2024,8500.5,7260.422580630291
20715,2006-09-19,2024,8430.1,7162.6121606948145
20716,2006-09-20,2024,7401.7,6991.177000046646
20717,2006-09-21,2024,6916.7,6240.728786344389
20718,2006-09-22,2024,6952.4,6090.7449302780915
20719,2006-09-23,2024,6477.3,5538.285590528041
20720,2006-09-24,2024,6818.1,5446.278590610333
20721,2006-09-25,2024,7302.3,6015.083987510816
20722,2006-09-26,2024,7236.0,6167.708940748067
20723,2006-09-27,2024,7251.5,6104.561138634246
20724,2006-09-28,2024,7410.0,6161.479685564021
20725,2006-09-29,2024,6934.6,6007.49580597894
20726,2006-09-30,2024,5804.7,5178.062076643177
20727,2006-10-01,2024,5898.9,5214.0404831453625
20728,2006-10-02,2024,6642.8,5895.691231399138
20729,2006-10-03,2024,7462.3,5807.405407980239
20730,2006-10-04,2024,7872.8,6025.820291046389
20731,2006-10-05,2024,6864.4,5823.529014808686
20732,2006-10-06,2024,6480.7,5677.5649458217995
20733,2006-10-07,2024,5636.7,5172.167243822347
20734,2006-10-08,2024,5686.6,5156.139873917885
20735,2006-10-09,2024,6845.7,5860.5490676098
20736,2006-10-10,2024,7248.7,6240.516654507548
20737,2006-10-11,2024,6979.3,6014.697436617416
20738,2006-10-12,2024,7040.8,6260.06675294332
20739,2006-10-13,2024,6344.6,6079.654986630609
20740,2006-10-14,2024,5679.6,5069.972008381032
20741,2006-10-15,2024,5679.7,5082.627821439225
20742,2006-10-16,2024,6545.8,5788.341576720233
20743,2006-10-17,2024,6806.0,5669.8887025483245
20744,2006-10-18,2024,7066.7,5780.1051485540165
20745,2006-10-19,2024,6960.7,5738.970120926712
20746,2006-10-20,2024,7100.1,5892.505233986515
20747,2006-10-21,2024,5719.3,5228.332279358026
20748,2006-10-22,2024,5764.5,5269.686963043687
20749,2006-10-23,2024,6555.8,5910.19934188949
20750,2006-10-24,2024,6681.9,5901.586438746819
20751,2006-10-25,2024,6654.8,5869.973728773871
20752,2006-10-26,2024,6655.8,6035.888861352963
20753,2006-10-27,2024,6592.7,5871.704977227134
20754,2006-10-28,2024,5908.2,5318.660898388862
20755,2006-10-29,2024,6004.2,5553.247770050846
20756,2006-10-30,2024,6881.1,5988.925425083215
20757,2006-10-31,2024,6924.1,6116.6384541922735
20758,2006-11-01,2024,7133.9,6190.205553799465
20759,2006-11-02,2024,6902.6,5983.849842776913
20760,2006-11-03,2024,6857.5,5913.663958076994
20761,2006-11-04,2024,5997.9,5308.16876638852
20762,2006-11-05,2024,6007.0,5387.806508674739
20763,2006-11-06,2024,6992.3,6023.275346674089
20764,2006-11-07,2024,7043.4,5922.17055169299
20765,2006-11-08,2024,7205.8,6070.821161446007
20766,2006-11-09,2024,7112.9,6062.045215175674
20767,2006-11-10,2024,6841.9,5459.716506939445
20768,2006-11-11,2024,6015.5,5371.5982290104785
20769,2006-11-12,2024,5993.0,5352.461361094847
20770,2006-11-13,2024,7102.2,6003.018833037914
20771,2006-11-14,2024,7084.8,6304.1791697073795
20772,2006-11-15,2024,7186.4,6168.564061213303
20773,2006-11-16,2024,7311.1,6183.550116785169
20774,2006-11-17,2024,6923.4,6054.149616751802
20775,2006-11-18,2024,6002.9,5315.76555434315
20776,2006-11-19,2024,5966.3,5393.975351221234
20777,2006-11-20,2024,7067.0,6143.808081150568
20778,2006-11-21,2024,7014.6,5936.625414963262
20779,2006-11-22,2024,6919.3,6073.36575515187
20780,2006-11-23,2024,5672.7,5732.862136387994
20781,2006-11-24,2024,6308.1,5882.8996241866225
20782,2006-11-25,2024,5913.5,5621.334087279851
20783,2006-11-26,2024,5984.6,5539.117558339034
